Condicion,Month,Year,Count,Div
Local,Marzo,2016,0,Primera
Visitante,Marzo,2016,0,Primera
Local,Abril,2016,2,Primera
Visitante,Abril,2016,3,Primera
Local,Marzo,2016,0,Intermedia
Visitante,Marzo,2016,0,Intermedia
Local,Abril,2016,0,Intermedia
Visitante,Abril,2016,0,Intermedia
Local,Marzo,2015,1,Primera
Visitante,Marzo,2015,1,Primera
Local,Abril,2015,0,Primera
Visitante,Abril,2015,1,Primera
Local,mayo,2015,1,Primera
Visitante,mayo,2015,4,Primera
Local,junio,2015,0,Primera
Visitante,junio,2015,2,Primera
Local,julio,2015,0,Primera
Visitante,julio,2015,2,Primera
Local,agosto,2015,2,Primera
Visitante,agosto,2015,0,Primera
Local,septiembre,2015,3,Primera
Visitante,septiembre,2015,1,Primera
Local,octubre,2015,1,Primera
Visitante,octubre,2015,1,Primera
Local,noviembre,2015,2,Primera
Visitante,noviembre,2015,0,Primera
Local,Marzo,2015,0,Intermedia
Visitante,Marzo,2015,0,Intermedia
Local,Abril,2015,0,Intermedia
Visitante,Abril,2015,0,Intermedia
Local,mayo,2015,0,Intermedia
Visitante,mayo,2015,1,Intermedia
Local,junio,2015,0,Intermedia
Visitante,junio,2015,0,Intermedia
Local,julio,2015,0,Intermedia
Visitante,julio,2015,0,Intermedia
Local,agosto,2015,0,Intermedia
Visitante,agosto,2015,0,Intermedia
Local,septiembre,2015,1,Intermedia
Visitante,septiembre,2015,0,Intermedia
Local,octubre,2015,0,Intermedia
Visitante,octubre,2015,0,Intermedia
Local,noviembre,2015,0,Intermedia
Visitante,noviembre,2015,1,Intermedia
Local,Marzo,2013,0,Primera
Visitante,Marzo,2013,0,Primera
Local,Abril,2013,3,Primera
Visitante,Abril,2013,4,Primera
Local,mayo,2013,4,Primera
Visitante,mayo,2013,3,Primera
Local,junio,2013,5,Primera
Visitante,junio,2013,2,Primera
Local,junio,2013,3,Intermedia
Visitante,junio,2013,2,Intermedia
Local,julio,2013,3,Intermedia
Visitante,julio,2013,0,Intermedia
Local,agosto,2013,1,Intermedia
Visitante,agosto,2013,2,Intermedia
Local,septiembre,2013,2,Intermedia
Visitante,septiembre,2013,1,Intermedia
Local,octubre,2013,0,Intermedia
Visitante,octubre,2013,3,Intermedia
Local,noviembre,2013,0,Intermedia
Visitante,noviembre,2013,0,Intermedia
Local,Marzo,2012,4,Primera
Visitante,Marzo,2012,3,Primera
Local,Abril,2012,4,Primera
Visitante,Abril,2012,4,Primera
Local,mayo,2012,3,Primera
Visitante,mayo,2012,5,Primera
Local,junio,2012,5,Primera
Visitante,junio,2012,4,Primera
Local,julio,2012,1,Primera
Visitante,julio,2012,2,Primera
Local,agosto,2012,2,Primera
Visitante,agosto,2012,0,Primera
Local,septiembre,2012,4,Primera
Visitante,septiembre,2012,10,Primera
Local,octubre,2012,3,Primera
Visitante,octubre,2012,0,Primera